Tool Name,Category,Primary Use Case,Tags,Device Type,Programming Language,Short Description,Repository,Publication Link,Publication Status,Dependencies / Ecosystem,Notes,Latest change
App-TobiiPro,Integration & Synchronization,Data streaming,data-streaming; lsl; sdk-wrapper; real-time,Screen-based,C++,LSL application that connects compatible Tobii Pro devices to the Lab Streaming Layer ecosystem.,https://github.com/labstreaminglayer/App-TobiiPro,,No publication,Lab Streaming Layer; Tobii Pro SDK,Repository is the canonical LSL app for Tobii Pro devices.,
capturing-triadic-egs,"Analysis, Visualization & Quality",Multimodal integration,multimodal-integration; hyperscanning; synchronization; audio,Both,Mixed,Open-source workflow for combining eye-tracking and audio data to study gaze and speech synchrony in triadic interactions.,https://github.com/mrhmatar/capturing-triadic-egs/tree/main,https://doi.org/10.5281/zenodo.17486478,Other,Python; R,Focus on social interaction and synchrony analysis,Updated this entry
CHAP,"Analysis, Visualization & Quality",Pupillometry analysis,pupillometry; preprocessing; visualization; matlab,Both,MATLAB,MATLAB GUI for processing and analyzing pupillometry data with standardized preprocessing and group analysis workflows.,http://in.bgu.ac.il/en/Labs/CNL/chap,https://doi.org/10.3758/s13428-018-01190-1,Journal article,MATLAB,Readme link points to the project page; source code is mirrored on GitHub.,
EYE-EEG,Integration & Synchronization,Multimodal integration,multimodal-integration; eeg; synchronization,Both,MATLAB,Toolbox for synchronizing and analyzing combined EEG and eye-tracking data.,https://github.com/olafdimigen/eye-eeg,,No publication,eeglab,Extends EEGLAB,Added this entry
EyeFeatures,"Analysis, Visualization & Quality",Feature extraction,feature-extraction; machine-learning; python,Both,Python,Python package for extracting engineered and optional deep features from eye-tracking data for downstream modeling.,https://github.com/hse-scila/EyeFeatures,,No publication,Python; optional deep module,Main repository is notebook-heavy but installable as a Python package.,
EyeLiveMetrics,"Utilities, Examples & SDK Resources",Real-time analysis,real-time; visualization; browser-based; reading; javascript,Screen-based,JavaScript,Browser-based open-source plugin for real-time reading and eye movement metrics from streamed gaze data on web pages.,https://git.gesis.org/iir/eyelivemetrics,https://arxiv.org/abs/2601.02044,Preprint,Browser extension; WebSocket; optional Python bridge,Readme links to the source repository on GESIS GitLab.,
EyePort,"Data Access, Parsing & Management",Data export,data-export; wearable; preprocessing,Wearable,Python,"Software for collecting, reviewing, and exporting data from Tobii Pro Glasses 3 recordings.",https://github.com/akashcraft/EyePort,,No publication,Python; Tobii Pro Glasses 3; g3pylib,Focused on Glasses 3 workflows and packaged application releases,Updated this entry
eyetools,"Analysis, Visualization & Quality",Data parsing,reprocessing; visualization; aoi-analysis; r,Both,R,"R package providing tools for processing, analyzing, and visualizing eye-tracking data.",https://github.com/tombeesley/eyetools,,No publication,R,"Includes functions for HDF5 events, interpolation, AOI growth plots, and heatmaps",Updated this entry
Floating bar graph,"Analysis, Visualization & Quality",Visualization,visualization; pro-lab; plotting,Screen-based,Python,Script for plotting floating bar graphs from Tobii Pro Lab exported data.,https://github.com/richardandersson/TobiiProLabScripts/tree/master/floating%20bar%20graph,,No publication,Tobii Pro Lab,Simple visualization utility,
GazeCode,"Analysis, Visualization & Quality",Annotation,annotation; aoi-analysis; wearable,Wearable,MATLAB,Tool for manual mapping of gaze data to objects of interest.,https://github.com/jsbenjamins/gazecode,,No publication,Tobii Pro Glasses 2; Tobii Pro Glasses 3,Often used with GlassesViewer.,Added this entry
GazeMapper,Wearable & Egocentric Workflows,Scene video processing,wearable; gaze-mapping; aoi-analysis; synchronization,Wearable,Python,Open-source tool for automated world-based mapping and processing of wearable eye tracker data.,https://github.com/dcnieho/gazeMapper,,No publication,glassesTools; glassesValidator,Can map gaze to planar surfaces and synchronize recordings across participants.,
gazeR,"Analysis, Visualization & Quality",AOI analysis,aoi-analysis; pupillometry; visualization; r,Both,R,"R package for reading, binning, AOI coding, and analyzing gaze-position and pupil-size time-course data.",https://github.com/dmirman/gazer,,No publication,R,Handles gaze-position and pupillometric data in the same workflow.,
glassesTools,"Data Access, Parsing & Management",Data parsing,wearable; preprocessing; data-export; glasses-2; glasses-3,Wearable,Python,Python toolkit for importing and processing wearable eye tracker recordings in a shared intermediate format.,https://github.com/dcnieho/glassesTools,https://doi.org/10.3758/s13428-023-02105-5,Journal article,gazeMapper; glassesValidator,Used as the backend for gazeMapper and glassesValidator.,
GlassesValidator,"Analysis, Visualization & Quality",Validation,wearable; validation; quality-control; glasses-2; glasses-3,Wearable,Python,Tool for estimating accuracy and precision in wearable eye tracker recordings.,https://github.com/dcnieho/glassesValidator,https://doi.org/10.3758/s13428-023-02105-5,Journal article,glassesTools,Recent versions rely on glassesTools for much of the backend processing.,
GlassesViewer,Wearable & Egocentric Workflows,Visualization,wearable; visualization; annotation; glasses-2; glasses-3,Wearable,MATLAB,Open-source Matlab utility for viewing and analyzing data from Tobii Pro Glasses 2 and 3. It integrates with GazeCode tool for manual mapping.,https://github.com/dcnieho/GlassesViewer,https://doi.org/10.3758/s13428-019-01314-1,Journal article,MATLAB,Supports Tobii Glasses 2 and 3 recording folders from SD-card exports.,Updated the description
hello-tobii,"Utilities, Examples & SDK Resources",Example/demo,data-streaming; sdk-wrapper; python,Screen-based,Python,Simple Hello World script that gets gaze data from a Tobii Pro eye tracker and prints it to the console.,https://github.com/tobii/products-solutions-community/tree/main/scripts/tobii-pro-sdk/python/hello-tobii,,No publication,Tobii Pro SDK; Python,Requires Python 3.10 and the tobii_research package.,Added this entry
